category	number_of_genes	p_value	fdr	description
WikiPathways	82	3.09e-115	2.41e-112	DNA repair pathways, full network
Function	78	2.1e-91	1.04e-87	Catalytic activity, acting on DNA
Function	137	3.75e-73	9.24e-70	DNA binding
WikiPathways	51	8.669999999999999e-69	3.3800000000000004e-66	DNA IR-damage and cellular response via ATR
Function	80	9.410000000000001e-66	1.55e-62	Catalytic activity, acting on a nucleic acid
WikiPathways	38	2.04e-55	5.31e-53	DNA replication
Function	143	7.399999999999999e-54	9.13e-51	Nucleic acid binding
Function	39	5.24e-51	5.17e-48	Damaged DNA binding
WikiPathways	36	5.1e-47	9.949999999999999e-45	G1 to S cell cycle control
WikiPathways	38	2.5e-46	3.9e-44	Retinoblastoma gene in cancer
Function	40	6.48e-45	5.32e-42	Single-stranded DNA binding
WikiPathways	39	1.99e-43	2.59e-41	Cell cycle
Function	156	2.61e-43	1.84e-40	Heterocyclic compound binding
Function	38	3.740000000000001e-43	2.31e-40	ATP-dependent activity, acting on DNA
Function	156	1.3399999999999998e-42	7.34e-40	Organic cyclic compound binding
WikiPathways	33	2.4599999999999998e-40	2.75e-38	Nucleotide excision repair in xeroderma pigmentosum 
WikiPathways	31	7.86e-38	7.68e-36	miRNA regulation of DNA damage response
WikiPathways	30	1.39e-36	1.21e-34	DNA damage response
WikiPathways	27	3.76e-36	2.94e-34	Nucleotide excision repair
HPO	28	8.38e-37	1.02e-32	Abnormality of chromosome stability
WikiPathways	27	4.0099999999999995e-34	2.85e-32	DNA IR-double strand breaks and cellular response via ATM
HPO	50	8.120000000000001e-35	4.96e-31	Intrauterine growth retardation
DISEASES	22	4.08e-32	1.87e-28	Fanconi anemia
HPO	35	2.6300000000000004e-31	1.07e-27	Hypermelanotic macule
HPO	21	6.2500000000000005e-31	1.27e-27	Pyridoxine-responsive sideroblastic anemia
HPO	22	4.15e-31	1.27e-27	Duodenal stenosis
WikiPathways	21	5.56e-29	3.6200000000000004e-27	Base excision repair
HPO	36	2.59e-30	3.69e-27	Irregular hyperpigmentation
HPO	21	2.12e-30	3.69e-27	Aplasia/Hypoplasia of the uvula
HPO	21	2.12e-30	3.69e-27	Absent testis
HPO	39	3.71e-30	4.11e-27	Hyperpigmentation of the skin
Function	25	8.500000000000001e-30	4.19e-27	DNA helicase activity
HPO	38	2.96e-29	3.01e-26	Clinodactyly of the 5th finger
HPO	38	3.32e-29	3.1100000000000004e-26	Deviation of the 5th finger
HPO	21	3.35e-29	3.1100000000000004e-26	Abnormal preputium morphology
HPO	21	3.35e-29	3.1100000000000004e-26	Clubbing of toes
HPO	43	1.8000000000000002e-28	1.37e-25	Abnormality of skin pigmentation
HPO	31	1.82e-28	1.37e-25	Abnormal uvula morphology
HPO	27	3.73e-28	2.39e-25	Hypopigmented skin patches
HPO	21	3.77e-28	2.39e-25	Almond-shaped palpebral fissure
HPO	22	9.200000000000001e-28	5.099999999999999e-25	Obsolete Abnormality of the ulna
HPO	34	9.73e-28	5.16e-25	Hematological neoplasm
HPO	25	1.5400000000000002e-27	7.52e-25	Aplasia/Hypoplasia of the radius
HPO	52	1.79e-27	8.4e-25	Neoplasm
HPO	33	2.43e-27	1.09e-24	Weight loss
HPO	51	2.4100000000000003e-27	1.09e-24	Neoplasm by anatomical site
