category	number_of_genes	p_value	fdr	description
Function	36	4.27e-15	5.26e-12	DNA binding
WikiPathways	31	2.81e-48	7.299999999999999e-46	Cell cycle
WikiPathways	29	5.09e-51	1.99e-48	G1 to S cell cycle control
WikiPathways	28	6.92e-53	5.41e-50	DNA replication
WikiPathways	25	1.31e-39	2.55e-37	Retinoblastoma gene in cancer
Function	20	7.94e-15	6.53e-12	Catalytic activity, acting on a nucleic acid
Function	18	1.59e-19	7.86e-16	Catalytic activity, acting on DNA
WikiPathways	11	4.69e-15	7.32e-13	miRNA regulation of DNA damage response
WikiPathways	11	2.52e-14	3.28e-12	Pyrimidine metabolism
Function	10	6.9e-19	1.7e-15	DNA replication origin binding
WikiPathways	10	1.62e-13	1.81e-11	DNA damage response
Function	9	1.18e-15	1.94e-12	DNA-directed DNA polymerase activity
DISEASES	8	3.05e-14	1.4e-10	Retinal cancer
DISEASES	7	1.42e-13	3.27e-10	Meier-Gorlin syndrome
