stringId_A	stringId_B	preferredName_A	preferredName_B	ncbiTaxonId	score	nscore	fscore	pscore	ascore	escore	dscore	tscore
9606.ENSP00000233146	9606.ENSP00000354497	MSH2	FAN1	9606	0.439	0.0	0	0.0	0.089	0.0	0.0	0.409
9606.ENSP00000233146	9606.ENSP00000354497	MSH2	FAN1	9606	0.439	0.0	0	0.0	0.089	0.0	0.0	0.409
9606.ENSP00000233146	9606.ENSP00000263735	MSH2	EPCAM	9606	0.914	0.0	0	0.0	0.063	0.0	0.0	0.912
9606.ENSP00000233146	9606.ENSP00000263735	MSH2	EPCAM	9606	0.914	0.0	0	0.0	0.063	0.0	0.0	0.912
9606.ENSP00000233146	9606.ENSP00000265849	MSH2	PMS2	9606	0.999	0.061	0	0.332	0.355	0.895	0.54	0.999
9606.ENSP00000233146	9606.ENSP00000265849	MSH2	PMS2	9606	0.999	0.061	0	0.332	0.355	0.895	0.54	0.999
9606.ENSP00000233146	9606.ENSP00000234420	MSH2	MSH6	9606	0.999	0.0	0	0.14	0.682	0.997	0.9	0.991
9606.ENSP00000233146	9606.ENSP00000234420	MSH2	MSH6	9606	0.999	0.0	0	0.14	0.682	0.997	0.9	0.991
9606.ENSP00000233146	9606.ENSP00000406490	MSH2	PMS1	9606	0.999	0.061	0	0.342	0.485	0.569	0.54	0.999
9606.ENSP00000233146	9606.ENSP00000406490	MSH2	PMS1	9606	0.999	0.061	0	0.342	0.485	0.569	0.54	0.999
9606.ENSP00000233146	9606.ENSP00000348020	MSH2	MLH3	9606	0.999	0.061	0	0.0	0.333	0.417	0.54	0.997
9606.ENSP00000233146	9606.ENSP00000348020	MSH2	MLH3	9606	0.999	0.061	0	0.0	0.333	0.417	0.54	0.997
9606.ENSP00000234420	9606.ENSP00000263735	MSH6	EPCAM	9606	0.874	0.0	0	0.0	0.05	0.0	0.0	0.873
9606.ENSP00000234420	9606.ENSP00000263735	MSH6	EPCAM	9606	0.874	0.0	0	0.0	0.05	0.0	0.0	0.873
9606.ENSP00000234420	9606.ENSP00000406490	MSH6	PMS1	9606	0.999	0.061	0	0.315	0.395	0.569	0.54	0.997
9606.ENSP00000234420	9606.ENSP00000406490	MSH6	PMS1	9606	0.999	0.061	0	0.315	0.395	0.569	0.54	0.997
9606.ENSP00000234420	9606.ENSP00000348020	MSH6	MLH3	9606	0.999	0.061	0	0.0	0.333	0.417	0.54	0.995
9606.ENSP00000234420	9606.ENSP00000348020	MSH6	MLH3	9606	0.999	0.061	0	0.0	0.333	0.417	0.54	0.995
9606.ENSP00000234420	9606.ENSP00000265849	MSH6	PMS2	9606	0.999	0.061	0	0.0	0.349	0.835	0.54	0.999
9606.ENSP00000234420	9606.ENSP00000265849	MSH6	PMS2	9606	0.999	0.061	0	0.0	0.349	0.835	0.54	0.999
9606.ENSP00000260197	9606.ENSP00000410339	SORL1	TOMM40	9606	0.517	0.0	0	0.0	0.042	0.0	0.0	0.517
9606.ENSP00000260197	9606.ENSP00000410339	SORL1	TOMM40	9606	0.517	0.0	0	0.0	0.042	0.0	0.0	0.517
9606.ENSP00000260197	9606.ENSP00000355747	SORL1	PSEN2	9606	0.778	0.0	0	0.0	0.0	0.0	0.0	0.778
9606.ENSP00000260197	9606.ENSP00000355747	SORL1	PSEN2	9606	0.778	0.0	0	0.0	0.0	0.0	0.0	0.778
9606.ENSP00000260197	9606.ENSP00000263094	SORL1	ABCA7	9606	0.841	0.0	0	0.0	0.083	0.0	0.0	0.833
9606.ENSP00000260197	9606.ENSP00000263094	SORL1	ABCA7	9606	0.841	0.0	0	0.0	0.083	0.0	0.0	0.833
9606.ENSP00000260197	9606.ENSP00000284981	SORL1	APP	9606	0.999	0.0	0	0.0	0.06	0.835	0.9	0.994
9606.ENSP00000260197	9606.ENSP00000284981	SORL1	APP	9606	0.999	0.0	0	0.0	0.06	0.835	0.9	0.994
9606.ENSP00000263094	9606.ENSP00000410339	ABCA7	TOMM40	9606	0.507	0.0	0	0.0	0.0	0.0	0.0	0.507
9606.ENSP00000263094	9606.ENSP00000410339	ABCA7	TOMM40	9606	0.507	0.0	0	0.0	0.0	0.0	0.0	0.507
9606.ENSP00000263094	9606.ENSP00000284981	ABCA7	APP	9606	0.697	0.0	0	0.0	0.0	0.0	0.0	0.697
9606.ENSP00000263094	9606.ENSP00000284981	ABCA7	APP	9606	0.697	0.0	0	0.0	0.0	0.0	0.0	0.697
9606.ENSP00000263094	9606.ENSP00000355747	ABCA7	PSEN2	9606	0.803	0.0	0	0.0	0.0	0.0	0.0	0.803
9606.ENSP00000263094	9606.ENSP00000355747	ABCA7	PSEN2	9606	0.803	0.0	0	0.0	0.0	0.0	0.0	0.803
9606.ENSP00000263735	9606.ENSP00000355747	EPCAM	PSEN2	9606	0.508	0.0	0	0.0	0.0	0.0	0.0	0.508
9606.ENSP00000263735	9606.ENSP00000355747	EPCAM	PSEN2	9606	0.508	0.0	0	0.0	0.0	0.0	0.0	0.508
9606.ENSP00000263735	9606.ENSP00000348020	EPCAM	MLH3	9606	0.681	0.0	0	0.0	0.0	0.0	0.0	0.681
9606.ENSP00000263735	9606.ENSP00000348020	EPCAM	MLH3	9606	0.681	0.0	0	0.0	0.0	0.0	0.0	0.681
9606.ENSP00000263735	9606.ENSP00000406490	EPCAM	PMS1	9606	0.699	0.0	0	0.0	0.0	0.0	0.0	0.699
9606.ENSP00000263735	9606.ENSP00000406490	EPCAM	PMS1	9606	0.699	0.0	0	0.0	0.0	0.0	0.0	0.699
9606.ENSP00000263735	9606.ENSP00000265849	EPCAM	PMS2	9606	0.864	0.0	0	0.0	0.0	0.0	0.0	0.864
9606.ENSP00000263735	9606.ENSP00000265849	EPCAM	PMS2	9606	0.864	0.0	0	0.0	0.0	0.0	0.0	0.864
9606.ENSP00000265849	9606.ENSP00000348020	PMS2	MLH3	9606	0.991	0.0	0	0.0	0.098	0.127	0.54	0.979
9606.ENSP00000265849	9606.ENSP00000348020	PMS2	MLH3	9606	0.991	0.0	0	0.0	0.098	0.127	0.54	0.979
9606.ENSP00000265849	9606.ENSP00000406490	PMS2	PMS1	9606	0.991	0.0	0	0.143	0.166	0.128	0.54	0.973
9606.ENSP00000265849	9606.ENSP00000406490	PMS2	PMS1	9606	0.991	0.0	0	0.143	0.166	0.128	0.54	0.973
9606.ENSP00000265849	9606.ENSP00000354497	PMS2	FAN1	9606	0.992	0.0	0	0.0	0.064	0.785	0.9	0.678
9606.ENSP00000265849	9606.ENSP00000354497	PMS2	FAN1	9606	0.992	0.0	0	0.0	0.064	0.785	0.9	0.678
9606.ENSP00000284981	9606.ENSP00000410339	APP	TOMM40	9606	0.901	0.0	0	0.0	0.042	0.071	0.0	0.898
9606.ENSP00000284981	9606.ENSP00000410339	APP	TOMM40	9606	0.901	0.0	0	0.0	0.042	0.071	0.0	0.898
9606.ENSP00000284981	9606.ENSP00000355747	APP	PSEN2	9606	0.969	0.0	0	0.0	0.049	0.339	0.0	0.954
9606.ENSP00000284981	9606.ENSP00000355747	APP	PSEN2	9606	0.969	0.0	0	0.0	0.049	0.339	0.0	0.954
9606.ENSP00000348020	9606.ENSP00000354497	MLH3	FAN1	9606	0.478	0.0	0	0.0	0.1	0.301	0.0	0.237
9606.ENSP00000348020	9606.ENSP00000354497	MLH3	FAN1	9606	0.478	0.0	0	0.0	0.1	0.301	0.0	0.237
9606.ENSP00000348020	9606.ENSP00000406490	MLH3	PMS1	9606	0.99	0.0	0	0.0	0.06	0.105	0.54	0.978
9606.ENSP00000348020	9606.ENSP00000406490	MLH3	PMS1	9606	0.99	0.0	0	0.0	0.06	0.105	0.54	0.978
9606.ENSP00000354497	9606.ENSP00000406490	FAN1	PMS1	9606	0.961	0.0	0	0.0	0.077	0.777	0.0	0.827
9606.ENSP00000354497	9606.ENSP00000406490	FAN1	PMS1	9606	0.961	0.0	0	0.0	0.077	0.777	0.0	0.827
9606.ENSP00000355747	9606.ENSP00000410339	PSEN2	TOMM40	9606	0.462	0.0	0	0.0	0.042	0.0	0.0	0.462
9606.ENSP00000355747	9606.ENSP00000410339	PSEN2	TOMM40	9606	0.462	0.0	0	0.0	0.042	0.0	0.0	0.462
9606.ENSP00000365301	9606.ENSP00000368007	FGF14	TMEM240	9606	0.503	0.0	0	0.0	0.084	0.0	0.0	0.48
9606.ENSP00000365301	9606.ENSP00000368007	FGF14	TMEM240	9606	0.503	0.0	0	0.0	0.084	0.0	0.0	0.48
