category	number_of_genes	p_value	fdr	description
Process	181	4.35e-220	6.83e-216	DNA metabolic process
Process	150	1.01e-184	7.940000000000001e-181	DNA repair
Process	158	2.57e-176	1.34e-172	Cellular response to DNA damage stimulus
Process	189	1.6100000000000002e-160	6.32e-157	Nucleic acid metabolic process
RCTM	122	2.07e-155	4.72e-152	DNA Repair
NetworkNeighborAL	104	2.04e-148	9.31e-145	DNA repair pathways, full network, and HDR through Homologous Recombination (HRR)
Keyword	123	2.1999999999999998e-147	1.48e-144	DNA damage
Process	185	1.9e-142	4.96e-139	Cellular macromolecule metabolic process
Keyword	114	6.3399999999999996e-139	2.13e-136	DNA repair
Process	160	1.6600000000000002e-132	2.88e-129	Cellular response to stress
Process	100	7.09e-132	1.11e-128	DNA replication
NetworkNeighborAL	91	8.53e-131	1.95e-127	DNA repair pathways, full network, and HDR through Homologous Recombination (HRR)
NetworkNeighborAL	88	4.67e-127	7.130000000000001e-124	DNA repair pathways, full network, and HDR through Homologous Recombination (HRR)
COMPARTMENTS	134	4.29e-121	9.88e-118	Chromosome
NetworkNeighborAL	80	1.58e-115	1.8e-112	Mixed, incl. Fanconi anemia pathway, and DNA repair complex
WikiPathways	82	3.09e-115	2.41e-112	DNA repair pathways, full network
RCTM	84	7.06e-113	8.06e-110	DNA Double-Strand Break Repair
NetworkNeighborAL	77	1.04e-111	9.550000000000001e-109	DNA repair pathways, full network, and HDR through Homologous Recombination (HRR)
Process	88	1.6100000000000002e-110	1.95e-107	Double-strand break repair
PMID	84	4.82e-114	2.11e-107	(2012) Exonuclease 1 (EXO1) gene variation and melanoma risk.
Process	81	7.47e-110	8.37e-107	DNA-templated DNA replication
Component	184	6.37e-102	1.3e-98	Nucleoplasm
COMPARTMENTS	190	4e-101	4.6e-98	Nucleus
Component	186	7.91e-99	8.099999999999999e-96	Nuclear lumen
Process	83	9.18e-98	9.599999999999999e-95	DNA recombination
RCTM	72	1.79e-97	1.36e-94	Homology Directed Repair
Process	196	6.999999999999999e-97	6.869999999999999e-94	Macromolecule metabolic process
RCTM	104	1.12e-93	6.4e-91	Cell Cycle
PMID	71	6.17e-97	1.35e-90	(2019) DNA damage response and repair in perspective: Aedes aegypti, Drosophila melanogaster and Homo sapiens.
Component	139	4.55e-92	3.1e-89	Chromosome
COMPARTMENTS	139	4.55e-92	3.49e-89	Nuclear lumen
Function	78	2.1e-91	1.04e-87	Catalytic activity, acting on DNA
NetworkNeighborAL	62	2.5699999999999997e-89	1.9600000000000002e-86	Diseases of DNA repair, and DNA repair complex
