category	term	number_of_genes	number_of_genes_in_background	ncbiTaxonId	inputGenes	preferredNames	p_value	fdr	description
NetworkNeighborAL	CL:6455	43	60	9606	CDC6,MCM5,POLE2,ORC6,GMNN,ORC2,GINS2,ORC3,MCM4,GINS1,POLD3,MCM6,MCM2,POLA2,DBF4,TM4SF19,GINS4,ORC5,CDT1,DONSON,MCM7,MCM9,POLE,PRIM1,MCMBP,WDHD1,ORC1,RPA4,POLE3,MCM8,POLA1,CDC7,POLG,GINS3,MCMDC2,MCM10,POLE4,ORC4,POLG2,POLD2,MCM3,PRIM2,MCM8-2	CDC6,MCM5,POLE2,ORC6,GMNN,ORC2,GINS2,ORC3,MCM4,GINS1,POLD3,MCM6,MCM2,POLA2,DBF4,TM4SF19,GINS4,ORC5,CDT1,DONSON,MCM7,MCM9,POLE,PRIM1,MCMBP,WDHD1,ORC1,RPA4,POLE3,MCM8,POLA1,CDC7,POLG,GINS3,MCMDC2,MCM10,POLE4,ORC4,POLG2,POLD2,MCM3,PRIM2,MCM8-2	1.52e-84	6.96e-81	DNA replication, and Regulation of DNA-directed DNA polymerase activity
Process	GO:0006260	47	203	9606	CDC6,MCM5,POLE2,ORC6,GMNN,ORC2,GINS2,ORC3,MCM4,GINS1,CCNE1,POLD3,MCM6,MCM2,POLA2,DBF4,CDK2,TICRR,GINS4,ORC5,CDT1,DONSON,MCM7,MCM9,POLE,PRIM1,REV3L,MCMBP,RRM2,WDHD1,DTL,ORC1,RPA4,POLE3,MCM8,POLA1,CDK1,POLG,GINS3,MCM10,POLE4,CCNE2,ORC4,POLG2,POLD2,MCM3,PRIM2	CDC6,MCM5,POLE2,ORC6,GMNN,ORC2,GINS2,ORC3,MCM4,GINS1,CCNE1,POLD3,MCM6,MCM2,POLA2,DBF4,CDK2,TICRR,GINS4,ORC5,CDT1,DONSON,MCM7,MCM9,POLE,PRIM1,REV3L,MCMBP,RRM2,WDHD1,DTL,ORC1,RPA4,POLE3,MCM8,POLA1,CDK1,POLG,GINS3,MCM10,POLE4,CCNE2,ORC4,POLG2,POLD2,MCM3,PRIM2	3.04e-74	4.7700000000000006e-70	DNA replication
RCTM	HSA-453279	43	148	9606	CDC6,MCM5,POLE2,ORC6,GMNN,ORC2,CCNA1,ORC3,CDK4,MCM4,CCNE1,MCM6,MCM2,POLA2,DBF4,CDK6,CDK2,RB1,SKP2,ORC5,CDT1,CDC25A,MCM7,POLE,E2F1,PRIM1,RRM2,ORC1,RPA4,POLE3,MCM8,POLA1,CDK1,CDKN1A,CDC7,MCM10,CDKN2A,POLE4,CCNE2,ORC4,MCM3,CCNA2,PRIM2	CDC6,MCM5,POLE2,ORC6,GMNN,ORC2,CCNA1,ORC3,CDK4,MCM4,CCNE1,MCM6,MCM2,POLA2,DBF4,CDK6,CDK2,RB1,SKP2,ORC5,CDT1,CDC25A,MCM7,POLE,E2F1,PRIM1,RRM2,ORC1,RPA4,POLE3,MCM8,POLA1,CDK1,CDKN1A,CDC7,MCM10,CDKN2A,POLE4,CCNE2,ORC4,MCM3,CCNA2,PRIM2	8.240000000000001e-71	1.88e-67	Mitotic G1 phase and G1/S transition
RCTM	HSA-69206	41	130	9606	CDC6,MCM5,POLE2,ORC6,GMNN,ORC2,CCNA1,ORC3,CDK4,MCM4,CCNE1,MCM6,MCM2,POLA2,DBF4,CDK2,RB1,SKP2,ORC5,CDT1,CDC25A,MCM7,POLE,E2F1,PRIM1,RRM2,ORC1,RPA4,POLE3,MCM8,POLA1,CDK1,CDKN1A,CDC7,MCM10,POLE4,CCNE2,ORC4,MCM3,CCNA2,PRIM2	CDC6,MCM5,POLE2,ORC6,GMNN,ORC2,CCNA1,ORC3,CDK4,MCM4,CCNE1,MCM6,MCM2,POLA2,DBF4,CDK2,RB1,SKP2,ORC5,CDT1,CDC25A,MCM7,POLE,E2F1,PRIM1,RRM2,ORC1,RPA4,POLE3,MCM8,POLA1,CDK1,CDKN1A,CDC7,MCM10,POLE4,CCNE2,ORC4,MCM3,CCNA2,PRIM2	2.06e-68	2.35e-65	G1/S Transition
RCTM	HSA-69242	42	162	9606	CDC6,MCM5,RBX1,POLE2,ORC6,GMNN,ORC2,GINS2,CCNA1,ORC3,CDK4,MCM4,GINS1,CCNE1,POLD3,MCM6,MCM2,POLA2,CDK2,RB1,SKP2,GINS4,ORC5,CDT1,CDC25A,MCM7,POLE,E2F1,PRIM1,ORC1,POLE3,MCM8,POLA1,CDKN1A,GINS3,POLE4,CCNE2,ORC4,POLD2,MCM3,CCNA2,PRIM2	CDC6,MCM5,RBX1,POLE2,ORC6,GMNN,ORC2,GINS2,CCNA1,ORC3,CDK4,MCM4,GINS1,CCNE1,POLD3,MCM6,MCM2,POLA2,CDK2,RB1,SKP2,GINS4,ORC5,CDT1,CDC25A,MCM7,POLE,E2F1,PRIM1,ORC1,POLE3,MCM8,POLA1,CDKN1A,GINS3,POLE4,CCNE2,ORC4,POLD2,MCM3,CCNA2,PRIM2	3.76e-67	2.86e-64	S Phase
Process	GO:0006261	41	137	9606	CDC6,MCM5,POLE2,ORC6,GMNN,ORC2,GINS2,ORC3,MCM4,GINS1,CCNE1,POLD3,MCM6,MCM2,POLA2,GINS4,ORC5,CDT1,DONSON,MCM7,MCM9,POLE,PRIM1,REV3L,MCMBP,WDHD1,ORC1,RPA4,POLE3,MCM8,POLA1,POLG,GINS3,MCM10,POLE4,CCNE2,ORC4,POLG2,POLD2,MCM3,PRIM2	CDC6,MCM5,POLE2,ORC6,GMNN,ORC2,GINS2,ORC3,MCM4,GINS1,CCNE1,POLD3,MCM6,MCM2,POLA2,GINS4,ORC5,CDT1,DONSON,MCM7,MCM9,POLE,PRIM1,REV3L,MCMBP,WDHD1,ORC1,RPA4,POLE3,MCM8,POLA1,POLG,GINS3,MCM10,POLE4,CCNE2,ORC4,POLG2,POLD2,MCM3,PRIM2	1.32e-67	1.03e-63	DNA-templated DNA replication
RCTM	HSA-69306	41	156	9606	CDC6,MCM5,RBX1,POLE2,ORC6,GMNN,ORC2,GINS2,CCNA1,ORC3,MCM4,GINS1,CCNE1,POLD3,MCM6,MCM2,POLA2,DBF4,CDK2,SKP2,GINS4,ORC5,CDT1,MCM7,POLE,PRIM1,ORC1,RPA4,POLE3,MCM8,POLA1,CDC7,GINS3,MCM10,POLE4,CCNE2,ORC4,POLD2,MCM3,CCNA2,PRIM2	CDC6,MCM5,RBX1,POLE2,ORC6,GMNN,ORC2,GINS2,CCNA1,ORC3,MCM4,GINS1,CCNE1,POLD3,MCM6,MCM2,POLA2,DBF4,CDK2,SKP2,GINS4,ORC5,CDT1,MCM7,POLE,PRIM1,ORC1,RPA4,POLE3,MCM8,POLA1,CDC7,GINS3,MCM10,POLE4,CCNE2,ORC4,POLD2,MCM3,CCNA2,PRIM2	1.3800000000000001e-65	7.899999999999999e-63	DNA Replication
RCTM	HSA-69278	50	526	9606	CDC6,MCM5,RBX1,POLE2,ORC6,GMNN,ORC2,GINS2,CCNA1,ORC3,CDK4,MCM4,GINS1,CCNE1,POLD3,MCM6,MCM2,POLA2,DBF4,CDK6,CDK2,RB1,SKP2,GINS4,ORC5,CDT1,CDC25A,MCM7,POLE,E2F1,PRIM1,RRM2,ORC1,RPA4,POLE3,MCM8,POLA1,CDK1,CDKN1A,CDC7,GINS3,MCM10,CDKN2A,POLE4,CCNE2,ORC4,POLD2,MCM3,CCNA2,PRIM2	CDC6,MCM5,RBX1,POLE2,ORC6,GMNN,ORC2,GINS2,CCNA1,ORC3,CDK4,MCM4,GINS1,CCNE1,POLD3,MCM6,MCM2,POLA2,DBF4,CDK6,CDK2,RB1,SKP2,GINS4,ORC5,CDT1,CDC25A,MCM7,POLE,E2F1,PRIM1,RRM2,ORC1,RPA4,POLE3,MCM8,POLA1,CDK1,CDKN1A,CDC7,GINS3,MCM10,CDKN2A,POLE4,CCNE2,ORC4,POLD2,MCM3,CCNA2,PRIM2	5.56e-62	2.54e-59	Cell Cycle, Mitotic
RCTM	HSA-69239	37	120	9606	CDC6,MCM5,RBX1,POLE2,ORC6,GMNN,ORC2,GINS2,CCNA1,ORC3,MCM4,GINS1,CCNE1,POLD3,MCM6,MCM2,POLA2,CDK2,SKP2,GINS4,ORC5,CDT1,MCM7,POLE,PRIM1,ORC1,POLE3,MCM8,POLA1,GINS3,POLE4,CCNE2,ORC4,POLD2,MCM3,CCNA2,PRIM2	CDC6,MCM5,RBX1,POLE2,ORC6,GMNN,ORC2,GINS2,CCNA1,ORC3,MCM4,GINS1,CCNE1,POLD3,MCM6,MCM2,POLA2,CDK2,SKP2,GINS4,ORC5,CDT1,MCM7,POLE,PRIM1,ORC1,POLE3,MCM8,POLA1,GINS3,POLE4,CCNE2,ORC4,POLD2,MCM3,CCNA2,PRIM2	7.94e-61	3.0200000000000003e-58	Synthesis of DNA
Keyword	KW-0235	35	98	9606	CDC6,MCM5,POLE2,ORC6,ORC2,GINS2,ORC3,MCM4,GINS1,POLD3,MCM6,MCM2,POLA2,DBF4,GINS4,ORC5,CDT1,MCM7,POLE,PRIM1,REV3L,MCMBP,RRM2,DTL,ORC1,MCM8,POLA1,POLG,GINS3,MCM10,ORC4,POLG2,POLD2,MCM3,PRIM2	CDC6,MCM5,POLE2,ORC6,ORC2,GINS2,ORC3,MCM4,GINS1,POLD3,MCM6,MCM2,POLA2,DBF4,GINS4,ORC5,CDT1,MCM7,POLE,PRIM1,REV3L,MCMBP,RRM2,DTL,ORC1,MCM8,POLA1,POLG,GINS3,MCM10,ORC4,POLG2,POLD2,MCM3,PRIM2	3.3900000000000003e-59	2.2800000000000003e-56	DNA replication
