#rank	DIAMOnD_node	p_hyper
1	9606.ENSP00000500891	1.1626284955945728e-11
2	9606.ENSP00000265081	3.816110061368877e-11
3	9606.ENSP00000472445	3.4113532421684336e-11
4	9606.ENSP00000355506	8.548859725968876e-11
5	9606.ENSP00000278616	3.4968670894674736e-11
6	9606.ENSP00000369497	2.4000077198952094e-12
7	9606.ENSP00000013807	5.3768632312426236e-14
8	9606.ENSP00000498881	1.2510638383970301e-13
9	9606.ENSP00000364270	8.296648994574632e-15
10	9606.ENSP00000484288	5.245922244067104e-16
11	9606.ENSP00000310520	3.8111822843594256e-17
12	9606.ENSP00000313420	1.2427837345689141e-18
13	9606.ENSP00000375978	7.332138990309539e-20
14	9606.ENSP00000349313	1.3282392510399342e-21
15	9606.ENSP00000350708	8.589325804336685e-23
16	9606.ENSP00000421491	1.674001072858686e-24
17	9606.ENSP00000382218	1.6314003117766869e-25
18	9606.ENSP00000367527	1.0521217243414248e-27
19	9606.ENSP00000300145	4.401410909157368e-30
20	9606.ENSP00000310008	1.279578883854139e-32
21	9606.ENSP00000360682	9.209083000123282e-35
22	9606.ENSP00000285021	5.181126007404938e-36
23	9606.ENSP00000352257	2.7781127123263287e-36
24	9606.ENSP00000398824	5.188257413349322e-38
25	9606.ENSP00000359300	1.8885554120794416e-37
26	9606.ENSP00000265038	5.612972467873669e-37
27	9606.ENSP00000262241	3.0689755927594164e-37
28	9606.ENSP00000383042	2.236792374013757e-35
29	9606.ENSP00000287647	1.6049269543551614e-22
30	9606.ENSP00000265433	1.0203251175361022e-20
31	9606.ENSP00000418960	9.274883575991682e-22
32	9606.ENSP00000262887	6.298907932506976e-22
33	9606.ENSP00000493712	6.065845962385385e-22
34	9606.ENSP00000325863	2.3943130976623637e-23
35	9606.ENSP00000298139	2.2011362810810216e-24
36	9606.ENSP00000254719	5.950534345791423e-25
37	9606.ENSP00000371475	5.600182918669929e-26
38	9606.ENSP00000336701	8.820055531456805e-25
39	9606.ENSP00000347232	1.9505861191669633e-26
40	9606.ENSP00000343741	2.730928374948132e-28
41	9606.ENSP00000351284	3.4730347458344126e-28
42	9606.ENSP00000466399	5.540796875871778e-30
43	9606.ENSP00000372023	1.7978241176674076e-29
44	9606.ENSP00000451974	3.228484598052773e-29
45	9606.ENSP00000267430	8.860385413971993e-31
46	9606.ENSP00000307853	6.64734484368928e-32
47	9606.ENSP00000351185	7.013378089891926e-32
48	9606.ENSP00000305480	1.3121757535308537e-32
49	9606.ENSP00000482313	2.8353295126395878e-33
50	9606.ENSP00000259008	1.648953172684981e-30
51	9606.ENSP00000382628	2.0037597830987697e-32
52	9606.ENSP00000391090	1.4960024432858664e-33
53	9606.ENSP00000363017	5.691272882246091e-34
54	9606.ENSP00000311360	1.9334359926189052e-33
55	9606.ENSP00000426191	3.0600583575029206e-33
56	9606.ENSP00000323099	4.729815465756787e-35
57	9606.ENSP00000258774	5.564133947787374e-37
58	9606.ENSP00000260810	5.683560046138095e-38
59	9606.ENSP00000365588	5.652632005752013e-37
60	9606.ENSP00000261584	8.321796169582418e-32
61	9606.ENSP00000310842	7.246131220241038e-32
62	9606.ENSP00000376272	3.7273185096202415e-31
63	9606.ENSP00000294008	2.654666191555028e-30
64	9606.ENSP00000367910	8.194048301700378e-30
65	9606.ENSP00000321636	4.787543151967958e-31
66	9606.ENSP00000373952	1.4448408347959217e-31
67	9606.ENSP00000317039	1.6807169856153902e-32
68	9606.ENSP00000251303	6.055737120153092e-31
69	9606.ENSP00000368100	2.0355011500640085e-30
70	9606.ENSP00000260947	9.318185700382755e-29
71	9606.ENSP00000419881	9.683903271294453e-31
72	9606.ENSP00000466834	1.4672765144506394e-31
73	9606.ENSP00000352271	3.2914498490883504e-30
74	9606.ENSP00000434024	5.937209759042827e-29
75	9606.ENSP00000330875	2.8566598367271525e-27
76	9606.ENSP00000289081	2.101312035703902e-27
77	9606.ENSP00000376952	1.6164345502948034e-26
78	9606.ENSP00000310356	6.865792095027104e-26
79	9606.ENSP00000322570	1.0686762710393802e-25
80	9606.ENSP00000370653	1.2330230169815475e-25
81	9606.ENSP00000466121	2.0817138596275887e-25
82	9606.ENSP00000385021	1.7037111301818782e-26
83	9606.ENSP00000498215	4.549102402473756e-27
84	9606.ENSP00000333283	4.2364620515379335e-25
85	9606.ENSP00000223129	5.4168158421537125e-25
86	9606.ENSP00000355759	3.623317302344467e-23
87	9606.ENSP00000368458	1.490455154192567e-23
88	9606.ENSP00000263274	1.3732216720818505e-24
89	9606.ENSP00000494957	1.6135477494840893e-22
90	9606.ENSP00000383710	2.269518510887075e-23
91	9606.ENSP00000308583	2.4106364686268577e-24
92	9606.ENSP00000464357	2.1849578100119547e-24
93	9606.ENSP00000229769	2.1083667975151034e-23
94	9606.ENSP00000367787	3.159347945456404e-22
95	9606.ENSP00000254942	3.502163876084545e-22
96	9606.ENSP00000369335	3.2318805905477627e-21
97	9606.ENSP00000317636	1.3996175491921164e-22
98	9606.ENSP00000408295	6.284339272974148e-21
99	9606.ENSP00000371469	4.77717604192516e-22
100	9606.ENSP00000369411	7.456411805871035e-22
101	9606.ENSP00000313171	1.06801279170646e-23
102	9606.ENSP00000371321	8.896176302536945e-25
103	9606.ENSP00000312995	1.3400595106538873e-20
104	9606.ENSP00000262105	5.424376261913401e-20
105	9606.ENSP00000216122	5.438835248487823e-21
106	9606.ENSP00000405726	3.644273687876973e-21
107	9606.ENSP00000262315	3.313301243854077e-22
108	9606.ENSP00000368358	2.424897725521375e-23
109	9606.ENSP00000450607	4.447340149697799e-23
110	9606.ENSP00000480987	3.3680551213625304e-24
111	9606.ENSP00000265465	8.743143673009826e-25
112	9606.ENSP00000307288	5.649883854299694e-26
113	9606.ENSP00000216367	1.2830741290853501e-26
114	9606.ENSP00000264156	8.228649341677674e-28
115	9606.ENSP00000265056	8.305093511335528e-29
116	9606.ENSP00000353793	1.2298802910314833e-30
117	9606.ENSP00000484105	3.0343945531218125e-32
118	9606.ENSP00000350491	2.6677948258667583e-31
119	9606.ENSP00000418268	3.386837049571755e-32
120	9606.ENSP00000261881	7.391542672896662e-30
121	9606.ENSP00000276533	1.745334483980023e-30
122	9606.ENSP00000314505	8.012902787350792e-32
123	9606.ENSP00000262460	3.1163746232270925e-29
124	9606.ENSP00000253462	3.480931110355675e-29
125	9606.ENSP00000401018	1.9825087331984416e-31
126	9606.ENSP00000209728	4.3678910807136213e-29
127	9606.ENSP00000360623	1.4724186923630053e-28
128	9606.ENSP00000368164	5.38201367225832e-29
129	9606.ENSP00000393139	4.6413797028007015e-30
130	9606.ENSP00000298288	4.53817372308906e-28
131	9606.ENSP00000480186	6.607738521932658e-28
132	9606.ENSP00000301019	1.0480906738705566e-27
133	9606.ENSP00000265728	9.581654541540965e-30
134	9606.ENSP00000234296	3.339629127399126e-29
135	9606.ENSP00000297431	1.883542018448609e-30
136	9606.ENSP00000441953	9.355581715766521e-31
137	9606.ENSP00000219097	4.188168148276232e-32
138	9606.ENSP00000257789	3.5313976098097537e-33
139	9606.ENSP00000498784	3.87747243778099e-28
140	9606.ENSP00000413632	1.8484917415174413e-25
141	9606.ENSP00000266970	3.352534858637469e-25
142	9606.ENSP00000263681	1.0055583031599066e-23
143	9606.ENSP00000351697	3.974851089616314e-22
144	9606.ENSP00000268138	1.763759586435074e-21
145	9606.ENSP00000307143	1.881100483294322e-21
146	9606.ENSP00000362131	2.255758385788396e-23
147	9606.ENSP00000322180	2.1626570627849677e-20
148	9606.ENSP00000363286	4.900248268792713e-20
149	9606.ENSP00000353098	1.6571665796568799e-19
150	9606.ENSP00000481380	6.345640932463096e-18
151	9606.ENSP00000273695	1.406321000917993e-17
152	9606.ENSP00000414095	1.8934114543377608e-17
153	9606.ENSP00000359181	3.083621570357214e-17
154	9606.ENSP00000220913	4.4065321181984873e-17
155	9606.ENSP00000442563	1.0428740121080413e-17
156	9606.ENSP00000235310	2.8305087265729497e-18
157	9606.ENSP00000420176	1.3413035869448333e-19
158	9606.ENSP00000399851	1.66840717143942e-21
159	9606.ENSP00000378736	3.0080025789183305e-19
160	9606.ENSP00000224950	6.93905337823362e-17
161	9606.ENSP00000264926	1.7383528813335304e-16
162	9606.ENSP00000376440	2.281645701199139e-16
163	9606.ENSP00000328174	9.460894196549983e-16
164	9606.ENSP00000361043	1.3521175821947978e-15
165	9606.ENSP00000479598	1.866087342827085e-15
166	9606.ENSP00000230056	6.896577504600156e-15
167	9606.ENSP00000306561	1.4049376488836778e-14
168	9606.ENSP00000258428	1.8745538410975313e-15
169	9606.ENSP00000379174	1.2309689105259713e-16
170	9606.ENSP00000375809	3.4028460127456142e-15
171	9606.ENSP00000361310	3.638890583557272e-15
172	9606.ENSP00000265421	4.541573330601828e-15
173	9606.ENSP00000269305	5.165199202658609e-15
174	9606.ENSP00000285398	4.137986693860065e-15
175	9606.ENSP00000216714	1.538574265557262e-14
176	9606.ENSP00000369145	2.8139380923950342e-15
177	9606.ENSP00000307004	6.511889625944575e-16
178	9606.ENSP00000323511	4.120185499218491e-17
179	9606.ENSP00000337353	1.9502296153874192e-16
180	9606.ENSP00000250416	3.819388793202574e-16
181	9606.ENSP00000349823	2.9934426500923876e-14
182	9606.ENSP00000242576	6.627452182488419e-14
183	9606.ENSP00000264233	3.619604916621788e-15
184	9606.ENSP00000478121	1.6337059255939796e-13
185	9606.ENSP00000216225	5.1019932931655287e-14
186	9606.ENSP00000355958	2.9691287503577745e-14
187	9606.ENSP00000378699	4.488019150786889e-14
188	9606.ENSP00000353770	3.1545137598147837e-14
189	9606.ENSP00000303706	6.999112562062812e-14
190	9606.ENSP00000262306	1.4349205893066391e-13
191	9606.ENSP00000257904	1.8240937986185446e-13
192	9606.ENSP00000255465	5.801872599497246e-14
193	9606.ENSP00000384849	2.9521952083139375e-14
194	9606.ENSP00000345571	3.036160911886478e-14
195	9606.ENSP00000429089	1.5270261144929417e-15
196	9606.ENSP00000262643	7.201609959032275e-15
197	9606.ENSP00000274255	9.846367411394688e-14
198	9606.ENSP00000265734	3.824653037449177e-15
199	9606.ENSP00000267163	1.5605441518559442e-14
200	9606.ENSP00000418915	1.1339833749283566e-15
